841,20,1,1,01:38.1,98109
933,830,49,7,01:13.0,72972
933,830,50,7,01:12.8,72767
933,830,51,7,01:13.2,73248
933,830,52,7,01:12.8,72829
933,830,53,7,01:12.8,72820
933,830,54,7,01:13.0,72977
933,830,55,7,01:12.7,72694
933,830,56,7,01:12.6,72604
933,830,57,7,01:12.5,72528
933,830,58,7,01:12.7,72709
933,830,59,7,01:13.0,73021
933,830,60,7,01:13.0,73035
933,830,61,7,01:12.8,72774
933,830,62,7,01:12.5,72494
933,830,63,7,01:12.5,72464
933,830,64,7,01:12.3,72349
933,830,65,7,01:12.8,72751
933,830,66,7,01:13.4,73444
933,830,67,7,01:13.4,73420
933,830,68,7,01:13.2,73219
933,830,69,8,01:16.4,76362
933,830,70,8,01:14.3,74303
933,822,1,7,01:39.7,99657
933,822,2,7,02:18.2,138218
933,822,3,7,02:04.0,124035
933,822,4,7,01:59.0,119005
933,822,5,7,01:52.7,112664
933,822,6,7,01:46.7,106724
933,822,7,7,01:16.4,76416
933,822,8,7,01:14.8,74847
933,822,9,7,01:13.6,73599
933,822,10,7,01:13.5,73480
933,822,11,7,01:13.6,73603
933,822,12,7,01:13.4,73438
933,822,13,7,01:13.1,73128
933,822,14,7,01:13.5,73545
933,822,15,6,01:13.4,73430
933,822,16,6,01:13.1,73080
933,822,17,6,01:13.1,73130
933,822,18,6,01:13.1,73089
933,822,19,6,01:13.2,73154
933,822,20,6,01:13.1,73092
933,822,21,6,01:13.4,73430
933,822,22,6,01:13.0,72973
933,822,23,6,01:13.3,73327
933,822,24,6,01:13.3,73311
933,822,25,5,01:12.9,72940
933,822,26,5,01:16.1,76073
933,822,27,8,01:32.1,92071
933,822,28,8,01:13.1,73100
933,822,29,8,01:13.0,72998
933,822,30,8,01:12.7,72674
933,822,31,8,01:12.6,72619
933,822,32,8,01:12.8,72849
933,822,33,8,01:13.0,73006
933,822,34,8,01:13.4,73389
933,822,35,7,01:13.4,73398
933,822,36,7,01:14.6,74611
933,822,37,6,01:13.4,73357
933,822,38,5,01:14.3,74324
933,822,39,5,01:13.1,73119
933,822,40,5,01:12.9,72916
933,822,41,5,01:13.2,73191
933,822,42,5,01:12.8,72809
933,822,43,5,01:12.7,72746
933,822,44,5,01:12.5,72506
933,822,45,5,01:12.9,72892
933,822,46,5,01:13.5,73469
933,822,47,5,01:12.7,72682
933,822,48,5,01:12.6,72559
933,822,49,5,01:12.4,72437
933,822,50,5,01:12.3,72327
933,822,51,5,01:12.3,72298
933,822,52,5,01:12.2,72248
933,822,53,5,01:12.4,72387
933,822,54,5,01:12.9,72900
933,822,55,5,01:12.4,72437
933,822,56,5,01:12.3,72304
933,822,57,5,01:12.4,72387
933,822,58,5,01:12.4,72372
933,822,59,5,01:12.5,72527
933,822,60,5,01:12.5,72454
933,822,61,5,01:12.5,72528
933,822,62,5,01:12.4,72444
933,822,63,5,01:12.6,72594
933,822,64,5,01:12.8,72769
933,822,65,5,01:12.9,72891
933,822,66,5,01:12.7,72722
933,822,67,5,01:12.7,72674
933,822,68,5,01:13.1,73065
933,822,69,5,01:12.9,72886
933,822,70,5,01:12.8,72772
933,822,71,5,01:13.4,73438
933,831,1,8,01:40.8,100842
933,831,2,8,02:18.2,138176
933,831,3,8,02:03.8,123754
933,831,4,8,02:00.0,119968
933,831,5,8,01:52.1,112134
933,831,6,8,01:45.6,105630
933,831,7,8,01:16.6,76650
933,831,8,8,01:15.2,75186
933,831,9,8,01:14.1,74127
933,831,10,8,01:14.1,74072
933,831,11,8,01:14.1,74093
933,831,12,8,01:13.5,73529
933,831,13,8,01:13.5,73450
933,831,14,8,01:13.6,73579
933,831,15,8,01:13.7,73749
933,831,16,8,01:13.7,73660
933,831,17,8,01:13.9,73883
933,831,18,8,01:13.6,73562
933,831,19,8,01:13.5,73451
933,831,20,8,01:13.6,73627
933,831,21,8,01:13.8,73848
933,831,22,8,01:13.7,73706
933,831,23,8,01:13.9,73880
933,831,24,10,01:18.8,78762
933,831,25,13,01:33.1,93075
933,831,26,13,01:14.9,74929
933,831,27,13,01:13.7,73699
933,831,28,13,01:13.6,73613
933,831,29,13,01:13.6,73625
933,831,30,13,01:13.3,73295
933,831,31,13,01:13.3,73317
933,831,32,13,01:13.8,73800
933,831,33,13,01:13.8,73807
933,831,34,13,01:14.0,73993
933,831,35,12,01:13.9,73911
933,831,36,12,01:14.0,74041
933,831,37,12,01:13.8,73806
933,831,38,11,01:14.3,74335
933,831,39,10,01:14.2,74178
933,831,40,10,01:14.8,74775
933,831,41,10,01:14.2,74223
933,831,42,10,01:13.9,73913
933,831,43,10,01:13.6,73610
933,831,44,10,01:13.4,73397
933,831,45,10,01:13.6,73610
933,831,46,11,01:15.0,75020
933,831,47,11,01:15.1,75067
